folder,file,original_count,retained_count,reduction_rate,mean_sim_original,mean_sim_filtered,similarity_drop
54458n,N_second.txt,3,3,0.0,0.6262233257293701,0.6262233257293701,0.0
54458n,C_second.txt,3,3,0.0,0.5284386277198792,0.5284386277198792,0.0
15100e,E_second.txt,3,3,0.0,0.5864167809486389,0.5864167809486389,0.0
15100e,N_second.txt,3,3,0.0,0.4542887210845947,0.4542887210845947,0.0
15100e,C_second.txt,1,1,0.0,,,
19c,E_second.txt,3,3,0.0,0.6226885914802551,0.6226885914802551,0.0
19c,N_second.txt,3,3,0.0,0.5539842247962952,0.5539842247962952,0.0
19c,C_second.txt,3,3,0.0,0.6025281548500061,0.6025281548500061,0.0
52171c,E_second.txt,2,2,0.0,0.852888286113739,0.852888286113739,0.0
52171c,N_second.txt,3,3,0.0,0.4775404930114746,0.4775404930114746,0.0
52171c,C_second.txt,2,2,0.0,0.47455430030822754,0.47455430030822754,0.0
101525c,E_second.txt,2,2,0.0,0.7221705913543701,0.7221705913543701,0.0
101525c,N_second.txt,3,3,0.0,0.6500082612037659,0.6500082612037659,0.0
101525c,C_second.txt,2,2,0.0,0.7079977989196777,0.7079977989196777,0.0
98561e,E_second.txt,3,3,0.0,0.68215012550354,0.68215012550354,0.0
98561e,N_second.txt,3,3,0.0,0.43981099128723145,0.43981099128723145,0.0
98561e,C_second.txt,3,3,0.0,0.4568617343902588,0.4568617343902588,0.0
46650n,E_second.txt,2,2,0.0,0.8403124809265137,0.8403124809265137,0.0
46650n,N_second.txt,2,2,0.0,0.7937451601028442,0.7937451601028442,0.0
46650n,C_second.txt,2,2,0.0,0.8456124663352966,0.8456124663352966,0.0
43891n,E_second.txt,3,3,0.0,0.5044033527374268,0.5044033527374268,0.0
43891n,N_second.txt,3,3,0.0,0.43610844016075134,0.43610844016075134,0.0
43891n,C_second.txt,3,3,0.0,0.5233142971992493,0.5233142971992493,0.0
91650n,E_second.txt,3,2,0.33333333333333337,0.8888213038444519,0.8808556795120239,0.007965624332427979
91650n,N_second.txt,3,3,0.0,0.46890053153038025,0.46890053153038025,0.0
91650n,C_second.txt,3,3,0.0,0.2609899938106537,0.2609899938106537,0.0
109278n,E_second.txt,2,2,0.0,0.7957417964935303,0.7957417964935303,0.0
109278n,N_second.txt,3,3,0.0,0.7089082598686218,0.7089082598686218,0.0
109278n,C_second.txt,3,3,0.0,0.4913318455219269,0.4913318455219269,0.0
103169n,E_second.txt,3,3,0.0,0.5602707862854004,0.5602707862854004,0.0
103169n,N_second.txt,3,3,0.0,0.710951030254364,0.710951030254364,0.0
103169n,C_second.txt,3,3,0.0,0.7470616698265076,0.7470616698265076,0.0
62238e,E_second.txt,3,3,0.0,0.5975305438041687,0.5975305438041687,0.0
62238e,N_second.txt,3,2,0.33333333333333337,0.8370025157928467,0.837672770023346,-0.0006702542304992676
62238e,C_second.txt,2,2,0.0,0.7946887016296387,0.7946887016296387,0.0
46198c,E_second.txt,1,1,0.0,,,
46198c,N_second.txt,3,3,0.0,0.48321470618247986,0.48321470618247986,0.0
46198c,C_second.txt,3,3,0.0,0.5327468514442444,0.5327468514442444,0.0
142604e,E_second.txt,4,4,0.0,0.46039724349975586,0.46039724349975586,0.0
142604e,N_second.txt,3,3,0.0,0.5039579272270203,0.5039579272270203,0.0
142604e,C_second.txt,3,3,0.0,0.7569593787193298,0.7569593787193298,0.0
77590c,E_second.txt,3,3,0.0,0.5817328095436096,0.5817328095436096,0.0
77590c,N_second.txt,3,3,0.0,0.4792034327983856,0.4792034327983856,0.0
77590c,C_second.txt,2,2,0.0,0.45404052734375,0.45404052734375,0.0
