precision,recall,f1,threshold
0.5064758009543285,0.9919893190921228,0.6705776173285198,0.1
0.515946137491141,0.9719626168224299,0.674074074074074,0.9
0.5068399452804377,0.9893190921228304,0.6702849389416554,0.3
0.49933333333333335,1.0,0.666073810582481,0
0.5068399452804377,0.9893190921228304,0.6702849389416554,0.5
0.5068399452804377,0.9893190921228304,0.6702849389416554,0.7
0.5068399452804377,0.9893190921228304,0.6702849389416554,0.8
0.5068212824010914,0.9919893190921228,0.670880361173815,0.2
0.5068399452804377,0.9893190921228304,0.6702849389416554,0.4
0.6181818181818182,0.09078771695594126,0.15832363213038417,1
0.5068399452804377,0.9893190921228304,0.6702849389416554,0.6
