folder,file,original_count,retained_count,reduction_rate,mean_sim_original,mean_sim_filtered,similarity_drop
125013e,N_second.txt,4,4,0.0,0.539668619632721,0.539668619632721,0.0
125013e,C_second.txt,3,3,0.0,0.4140542447566986,0.4140542447566986,0.0
58357c,E_second.txt,10,10,0.0,0.4569016396999359,0.4569016396999359,0.0
58357c,N_second.txt,6,6,0.0,0.35469016432762146,0.35469016432762146,0.0
58357c,C_second.txt,8,8,0.0,0.37863412499427795,0.37863412499427795,0.0
16494c,E_second.txt,5,5,0.0,0.5209711790084839,0.5209711790084839,0.0
16494c,N_second.txt,4,4,0.0,0.6289932131767273,0.6289932131767273,0.0
16494c,C_second.txt,3,3,0.0,0.5971696972846985,0.5971696972846985,0.0
77116e,E_second.txt,5,3,0.4,0.7377818822860718,0.6916583180427551,0.04612356424331665
77116e,N_second.txt,6,6,0.0,0.530129075050354,0.530129075050354,0.0
77116e,C_second.txt,5,5,0.0,0.4838865399360657,0.4838865399360657,0.0
104805e,E_second.txt,5,5,0.0,0.6305592060089111,0.6305592060089111,0.0
104805e,N_second.txt,3,2,0.33333333333333337,0.8476428389549255,0.7499332427978516,0.09770959615707397
104805e,C_second.txt,5,5,0.0,0.46900424361228943,0.46900424361228943,0.0
53866e,E_second.txt,5,5,0.0,0.4025459289550781,0.4025459289550781,0.0
53866e,N_second.txt,7,7,0.0,0.46492430567741394,0.46492430567741394,0.0
53866e,C_second.txt,3,3,0.0,0.3370591700077057,0.3370591700077057,0.0
26372n,E_second.txt,4,4,0.0,0.40707850456237793,0.40707850456237793,0.0
26372n,N_second.txt,10,10,0.0,0.6876546144485474,0.6876546144485474,0.0
26372n,C_second.txt,3,3,0.0,0.5765525698661804,0.5765525698661804,0.0
13387e,E_second.txt,5,5,0.0,0.4866260886192322,0.4866260886192322,0.0
13387e,N_second.txt,5,5,0.0,0.6060365438461304,0.6060365438461304,0.0
13387e,C_second.txt,9,9,0.0,0.5120129585266113,0.5120129585266113,0.0
63218n,E_second.txt,6,6,0.0,0.5808752179145813,0.5808752179145813,0.0
63218n,N_second.txt,5,5,0.0,0.5717682838439941,0.5717682838439941,0.0
63218n,C_second.txt,4,3,0.25,0.8449198603630066,0.8488306999206543,-0.003910839557647705
54458n,E_second.txt,5,5,0.0,0.5830044746398926,0.5830044746398926,0.0
54458n,N_second.txt,5,5,0.0,0.4866299629211426,0.4866299629211426,0.0
54458n,C_second.txt,6,6,0.0,0.48869308829307556,0.48869308829307556,0.0
15100e,E_second.txt,4,4,0.0,0.7350810170173645,0.7350810170173645,0.0
15100e,N_second.txt,4,4,0.0,0.4446258246898651,0.4446258246898651,0.0
15100e,C_second.txt,5,5,0.0,0.522303581237793,0.522303581237793,0.0
19c,E_second.txt,6,6,0.0,0.5732682347297668,0.5732682347297668,0.0
19c,N_second.txt,5,5,0.0,0.5632721781730652,0.5632721781730652,0.0
19c,C_second.txt,7,7,0.0,0.6176239252090454,0.6176239252090454,0.0
52171c,E_second.txt,5,4,0.19999999999999996,0.6428283452987671,0.6220505237579346,0.02077782154083252
52171c,N_second.txt,5,5,0.0,0.6364514231681824,0.6364514231681824,0.0
52171c,C_second.txt,6,6,0.0,0.5039037466049194,0.5039037466049194,0.0
101525c,E_second.txt,3,3,0.0,0.8176390528678894,0.8176390528678894,0.0
101525c,N_second.txt,8,8,0.0,0.5378188490867615,0.5378188490867615,0.0
101525c,C_second.txt,6,6,0.0,0.4890105426311493,0.4890105426311493,0.0
98561e,E_second.txt,3,3,0.0,0.5947520136833191,0.5947520136833191,0.0
98561e,N_second.txt,3,3,0.0,0.7292284965515137,0.7292284965515137,0.0
98561e,C_second.txt,5,5,0.0,0.626306414604187,0.626306414604187,0.0
46650n,E_second.txt,4,4,0.0,0.45439016819000244,0.45439016819000244,0.0
46650n,N_second.txt,6,5,0.16666666666666663,0.7181007862091064,0.6936187744140625,0.024482011795043945
46650n,C_second.txt,4,4,0.0,0.7678360939025879,0.7678360939025879,0.0
43891n,E_second.txt,4,4,0.0,0.46916231513023376,0.46916231513023376,0.0
43891n,N_second.txt,6,6,0.0,0.48922061920166016,0.48922061920166016,0.0
43891n,C_second.txt,3,3,0.0,0.380744606256485,0.380744606256485,0.0
91650n,E_second.txt,4,4,0.0,0.7572460174560547,0.7572460174560547,0.0
91650n,N_second.txt,4,4,0.0,0.5806019902229309,0.5806019902229309,0.0
91650n,C_second.txt,4,4,0.0,0.4810066223144531,0.4810066223144531,0.0
109278n,E_second.txt,4,4,0.0,0.8084185123443604,0.8084185123443604,0.0
109278n,N_second.txt,7,7,0.0,0.5569530725479126,0.5569530725479126,0.0
109278n,C_second.txt,2,2,0.0,0.6225008964538574,0.6225008964538574,0.0
103169n,E_second.txt,4,4,0.0,0.7768919467926025,0.7768919467926025,0.0
103169n,N_second.txt,5,5,0.0,0.7524734735488892,0.7524734735488892,0.0
103169n,C_second.txt,6,6,0.0,0.5741208791732788,0.5741208791732788,0.0
62238e,E_second.txt,6,6,0.0,0.4378373920917511,0.4378373920917511,0.0
62238e,N_second.txt,5,4,0.19999999999999996,0.6679418683052063,0.6365299224853516,0.031411945819854736
62238e,C_second.txt,5,5,0.0,0.6200634837150574,0.6200634837150574,0.0
46198c,E_second.txt,8,8,0.0,0.7376454472541809,0.7376454472541809,0.0
46198c,N_second.txt,5,5,0.0,0.5809013247489929,0.5809013247489929,0.0
46198c,C_second.txt,5,5,0.0,0.6581002473831177,0.6581002473831177,0.0
142604e,E_second.txt,6,6,0.0,0.6207736134529114,0.6207736134529114,0.0
142604e,N_second.txt,10,10,0.0,0.5934930443763733,0.5934930443763733,0.0
142604e,C_second.txt,6,6,0.0,0.4126802980899811,0.4126802980899811,0.0
77590c,E_second.txt,4,4,0.0,0.5919641852378845,0.5919641852378845,0.0
77590c,N_second.txt,5,5,0.0,0.4645775854587555,0.4645775854587555,0.0
77590c,C_second.txt,8,8,0.0,0.45706748962402344,0.45706748962402344,0.0
