precision,recall,f1,threshold
0.5003344481605351,0.9986648865153538,0.6666666666666667,0.1
0.6034214618973561,0.5180240320427236,0.5574712643678161,0.9
0.5040871934604905,0.9879839786381842,0.6675687866486243,0.3
0.49933333333333335,1.0,0.666073810582481,0
0.5204888569374551,0.9666221628838452,0.6766355140186916,0.5
0.556642216788916,0.9118825100133512,0.6912955465587044,0.7
0.570362473347548,0.7142857142857143,0.6342620035566093,0.8
0.5020270270270271,0.9919893190921228,0.6666666666666666,0.2
0.5104166666666666,0.9813084112149533,0.6715395157606212,0.4
0.8888888888888888,0.010680907877169559,0.021108179419525065,1
0.5322338830584707,0.9479305740987984,0.6817090734517522,0.6
